year,expenditure_type,school,funding_category,amount
2009,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Non Operational,160
2013,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Non Operational,6158002
2014,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Non Operational,7678705
2015,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Non Operational,4595634
2016,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Non Operational,4392491
2006,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Not Categorized,0
2009,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Not Categorized,00
2013,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Not Categorized,0
2014,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Not Categorized,0
2015,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Not Categorized,0
2016,Non-Instructional,Northern_Wells_Com_Schoolsnbsp_8435,Not Categorized,0
2006,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Academic Achievement,26491619
2009,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Academic Achievement,27976481
2013,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Academic Achievement,25873614
2014,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Academic Achievement,28764250
2015,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Academic Achievement,30660287
2016,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Academic Achievement,33257168
2006,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Instructional Support,4190065
2009,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Instructional Support,5154696
2013,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Instructional Support,4773866
2014,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Instructional Support,5484723
2015,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Instructional Support,5715370
2016,Instructional,Northwest_Allen_County_Schoolsnbsp_225,Student Instructional Support,6192624
2006,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Overhead and Operational,10252890
2009,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Overhead and Operational,197
2013,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Overhead and Operational,12990300
2014,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Overhead and Operational,13379602
2015,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Overhead and Operational,14141881
2016,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Overhead and Operational,14901078
2006,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Non Operational,11094599
2009,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Non Operational,213
2013,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Non Operational,16854808
2014,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Non Operational,16719241
2015,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Non Operational,17092647
2016,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Non Operational,15798601
2006,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Not Categorized,0
2009,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Not Categorized,00
2013,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Not Categorized,0
2014,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Not Categorized,0
2015,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Not Categorized,0
2016,Non-Instructional,Northwest_Allen_County_Schoolsnbsp_225,Not Categorized,0
2006,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Academic Achievement,6790234
2009,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Academic Achievement,6287187
2013,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Academic Achievement,6609497
2014,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Academic Achievement,6306954
2015,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Academic Achievement,6013023
2016,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Academic Achievement,6425055
2006,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Instructional Support,650133
2009,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Instructional Support,950436
2013,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Instructional Support,1089074
2014,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Instructional Support,1016874
2015,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Instructional Support,1067119
2016,Instructional,Northwestern_Con_School_Corpnbsp_7350,Student Instructional Support,1159067
2006,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Overhead and Operational,2803854
2009,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Overhead and Operational,222
2013,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Overhead and Operational,4151575
2014,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Overhead and Operational,4165306
2015,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Overhead and Operational,4230646
2016,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Overhead and Operational,3917844
2006,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Non Operational,2400055
2009,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Non Operational,190
2013,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Non Operational,4271222
2014,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Non Operational,2911932
2015,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Non Operational,2907338
2016,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Non Operational,3731426
2006,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Not Categorized,0
2009,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Not Categorized,00
2013,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Not Categorized,0
2014,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Not Categorized,0
2015,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Not Categorized,0
2016,Non-Instructional,Northwestern_Con_School_Corpnbsp_7350,Not Categorized,0
2006,Instructional,Northwestern_School_Corpnbsp_3470,Student Academic Achievement,8844455
2009,Instructional,Northwestern_School_Corpnbsp_3470,Student Academic Achievement,8686722
2013,Instructional,Northwestern_School_Corpnbsp_3470,Student Academic Achievement,8458577
2014,Instructional,Northwestern_School_Corpnbsp_3470,Student Academic Achievement,8105672
2015,Instructional,Northwestern_School_Corpnbsp_3470,Student Academic Achievement,8840927
2016,Instructional,Northwestern_School_Corpnbsp_3470,Student Academic Achievement,8688312
2006,Instructional,Northwestern_School_Corpnbsp_3470,Student Instructional Support,1119378
2009,Instructional,Northwestern_School_Corpnbsp_3470,Student Instructional Support,1572934
2013,Instructional,Northwestern_School_Corpnbsp_3470,Student Instructional Support,1431198
2014,Instructional,Northwestern_School_Corpnbsp_3470,Student Instructional Support,1393814
2015,Instructional,Northwestern_School_Corpnbsp_3470,Student Instructional Support,1424803
2016,Instructional,Northwestern_School_Corpnbsp_3470,Student Instructional Support,1441692
2006,Non-Instructional,Northwestern_School_Corpnbsp_3470,Overhead and Operational,3637501
2009,Non-Instructional,Northwestern_School_Corpnbsp_3470,Overhead and Operational,210
2013,Non-Instructional,Northwestern_School_Corpnbsp_3470,Overhead and Operational,4098645
2014,Non-Instructional,Northwestern_School_Corpnbsp_3470,Overhead and Operational,4280950
2015,Non-Instructional,Northwestern_School_Corpnbsp_3470,Overhead and Operational,4400103
2016,Non-Instructional,Northwestern_School_Corpnbsp_3470,Overhead and Operational,3992064
2006,Non-Instructional,Northwestern_School_Corpnbsp_3470,Non Operational,3699504
2009,Non-Instructional,Northwestern_School_Corpnbsp_3470,Non Operational,214
2013,Non-Instructional,Northwestern_School_Corpnbsp_3470,Non Operational,3614232
2014,Non-Instructional,Northwestern_School_Corpnbsp_3470,Non Operational,3775820
2015,Non-Instructional,Northwestern_School_Corpnbsp_3470,Non Operational,3799672
2016,Non-Instructional,Northwestern_School_Corpnbsp_3470,Non Operational,3959262
2006,Non-Instructional,Northwestern_School_Corpnbsp_3470,Not Categorized,0
2009,Non-Instructional,Northwestern_School_Corpnbsp_3470,Not Categorized,00
2013,Non-Instructional,Northwestern_School_Corpnbsp_3470,Not Categorized,0
2014,Non-Instructional,Northwestern_School_Corpnbsp_3470,Not Categorized,0
2015,Non-Instructional,Northwestern_School_Corpnbsp_3470,Not Categorized,0
2016,Non-Instructional,Northwestern_School_Corpnbsp_3470,Not Categorized,0
2006,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Academic Achievement,6627921
2009,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Academic Achievement,6887866
2013,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Academic Achievement,6747319
2014,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Academic Achievement,7279623
2015,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Academic Achievement,7421888
2016,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Academic Achievement,7792190
2006,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Instructional Support,1315213
2009,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Instructional Support,1493818
2013,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Instructional Support,1582712
2014,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Instructional Support,1704100
2015,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Instructional Support,1719107
2016,Instructional,Oak_Hill_United_School_Corpnbsp_5625,Student Instructional Support,1815728
2006,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Overhead and Operational,2743581
2009,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Overhead and Operational,218
2013,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Overhead and Operational,3424086
2014,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Overhead and Operational,3690472
2015,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Overhead and Operational,3547635
2016,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Overhead and Operational,3890967
2006,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Non Operational,1904471
2009,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Non Operational,151
2013,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Non Operational,4769671
2014,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Non Operational,6281719
2015,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Non Operational,7369098
2016,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Non Operational,8029081
2006,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Not Categorized,0
2009,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Not Categorized,00
2013,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Not Categorized,0
2014,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Not Categorized,0
2015,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Not Categorized,0
2016,Non-Instructional,Oak_Hill_United_School_Corpnbsp_5625,Not Categorized,0
2006,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Academic Achievement,0
2009,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Academic Achievement,729165
2013,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Academic Achievement,1020430
2014,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Academic Achievement,1100873
2015,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Academic Achievement,1112896
2016,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Academic Achievement,1325991
2006,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Instructional Support,0
2009,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Instructional Support,55939
2013,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Instructional Support,12269
2014,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Instructional Support,18411
2015,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Instructional Support,13323
2016,Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Student Instructional Support,12747
2006,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Overhead and Operational,0
2009,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Overhead and Operational,84786
2013,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Overhead and Operational,76868
2014,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Overhead and Operational,86769
2015,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Overhead and Operational,93809
2016,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Overhead and Operational,136737
2006,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Non Operational,0
2009,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Non Operational,160572
2013,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Non Operational,258545
2014,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Non Operational,243493
2015,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Non Operational,228197
2016,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Non Operational,2089312
2006,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Not Categorized,0
2009,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Not Categorized,0
2013,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Not Categorized,0
2014,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Not Categorized,0
2015,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Not Categorized,0
2016,Non-Instructional,Options_Charter_Sch__Noblesvillenbsp_9640,Not Categorized,0
2006,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Academic Achievement,648767
2009,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Academic Achievement,741844
2013,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Academic Achievement,894613
2014,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Academic Achievement,843344
2015,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Academic Achievement,930522
2016,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Academic Achievement,1800226
2006,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Instructional Support,49579
2009,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Instructional Support,46050
2013,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Instructional Support,35448
2014,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Instructional Support,47588
2015,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Instructional Support,8791
2016,Instructional,Options_Charter_School__Carmelnbsp_9325,Student Instructional Support,10240
2006,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Overhead and Operational,108033
2009,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Overhead and Operational,106
2013,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Overhead and Operational,94778
2014,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Overhead and Operational,105078
2015,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Overhead and Operational,134180
2016,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Overhead and Operational,146207
2006,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Non Operational,217439
2009,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Non Operational,212
2013,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Non Operational,163011
2014,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Non Operational,179005
2015,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Non Operational,190888
2016,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Non Operational,275292
2006,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Not Categorized,0
2009,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Not Categorized,00
2013,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Not Categorized,0
2014,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Not Categorized,0
2015,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Not Categorized,0
2016,Non-Instructional,Options_Charter_School__Carmelnbsp_9325,Not Categorized,0
2006,Instructional,OregonDavis_School_Corpnbsp_7495,Student Academic Achievement,3719400
2009,Instructional,OregonDavis_School_Corpnbsp_7495,Student Academic Achievement,3487812
2013,Instructional,OregonDavis_School_Corpnbsp_7495,Student Academic Achievement,3637207
2014,Instructional,OregonDavis_School_Corpnbsp_7495,Student Academic Achievement,3623684
2015,Instructional,OregonDavis_School_Corpnbsp_7495,Student Academic Achievement,4022292
2016,Instructional,OregonDavis_School_Corpnbsp_7495,Student Academic Achievement,3943750
2006,Instructional,OregonDavis_School_Corpnbsp_7495,Student Instructional Support,465275
2009,Instructional,OregonDavis_School_Corpnbsp_7495,Student Instructional Support,460198
2013,Instructional,OregonDavis_School_Corpnbsp_7495,Student Instructional Support,527763
2014,Instructional,OregonDavis_School_Corpnbsp_7495,Student Instructional Support,503862
2015,Instructional,OregonDavis_School_Corpnbsp_7495,Student Instructional Support,548242
2016,Instructional,OregonDavis_School_Corpnbsp_7495,Student Instructional Support,582555
2006,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Overhead and Operational,1671356
2009,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Overhead and Operational,226
2013,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Overhead and Operational,2238776
2014,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Overhead and Operational,2158405
2015,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Overhead and Operational,2201714
2016,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Overhead and Operational,2197271
2006,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Non Operational,1534148
2009,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Non Operational,208
2013,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Non Operational,1366236
2014,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Non Operational,1304414
2015,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Non Operational,1464970
2016,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Non Operational,1466880
2006,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Not Categorized,0
2009,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Not Categorized,00
2013,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Not Categorized,0
2014,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Not Categorized,0
2015,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Not Categorized,0
2016,Non-Instructional,OregonDavis_School_Corpnbsp_7495,Not Categorized,0
2006,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Academic Achievement,4180265
2009,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Academic Achievement,4446834
2013,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Academic Achievement,4746222
2014,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Academic Achievement,4579506
2015,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Academic Achievement,4546595
2016,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Academic Achievement,4704855
2006,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Instructional Support,447675
2009,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Instructional Support,598804
2013,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Instructional Support,688321
2014,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Instructional Support,573021
2015,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Instructional Support,578338
2016,Instructional,Orleans_Community_Schoolsnbsp_6145,Student Instructional Support,573630
2006,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Overhead and Operational,1398909
2009,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Overhead and Operational,183
2013,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Overhead and Operational,4731441
2014,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Overhead and Operational,2002760
2015,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Overhead and Operational,1988982
2016,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Overhead and Operational,1914894
2006,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Non Operational,1616591
2009,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Non Operational,212
2013,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Non Operational,1714803
2014,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Non Operational,1780976
2015,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Non Operational,1817225
2016,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Non Operational,1947666
2006,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Not Categorized,0
2009,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Not Categorized,00
2013,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Not Categorized,0
2014,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Not Categorized,0
2015,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Not Categorized,0
2016,Non-Instructional,Orleans_Community_Schoolsnbsp_6145,Not Categorized,0
2006,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Academic Achievement,9421321
2009,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Academic Achievement,9899515
2013,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Academic Achievement,9332838
2014,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Academic Achievement,9109116
2015,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Academic Achievement,9093599
2016,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Academic Achievement,9151338
2006,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Instructional Support,1002122
2009,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Instructional Support,1123722
2013,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Instructional Support,1223583
2014,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Instructional Support,1225018
2015,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Instructional Support,1302770
2016,Instructional,Paoli_Community_School_Corpnbsp_6155,Student Instructional Support,1313822
2006,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Overhead and Operational,2905679
2009,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Overhead and Operational,168
2013,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Overhead and Operational,3341962
2014,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Overhead and Operational,3324490
2015,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Overhead and Operational,3477673
2016,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Overhead and Operational,3390470
2006,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Non Operational,3979440
2009,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Non Operational,230
2013,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Non Operational,2267343
2014,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Non Operational,2206344
2015,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Non Operational,2338915
2016,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Non Operational,2360737
2006,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Not Categorized,0
2009,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Not Categorized,00
2013,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Not Categorized,0
2014,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Not Categorized,0
2015,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Not Categorized,0
2016,Non-Instructional,Paoli_Community_School_Corpnbsp_6155,Not Categorized,0
2006,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Academic Achievement,0
2009,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Academic Achievement,0
2013,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Academic Achievement,2085819
2014,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Academic Achievement,2299991
2015,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Academic Achievement,2739028
2016,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Academic Achievement,2596579
2006,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Instructional Support,0
2009,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Instructional Support,0
2013,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Instructional Support,543440
2014,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Instructional Support,851881
2015,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Instructional Support,1346425
2016,Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Student Instructional Support,1689284
2006,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Overhead and Operational,0
2009,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Overhead and Operational,0
2013,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Overhead and Operational,650746
2014,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Overhead and Operational,728334
2015,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Overhead and Operational,859009
2016,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Overhead and Operational,1046317
2006,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Non Operational,0
2009,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Non Operational,0
2013,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Non Operational,5209543
2014,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Non Operational,1073171
2015,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Non Operational,551065
2016,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Non Operational,685111
2006,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Not Categorized,0
2009,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Not Categorized,0
2013,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Not Categorized,0
2014,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Not Categorized,0
2015,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Not Categorized,0
2016,Non-Instructional,Paramount_School_of_Excellence_Incnbsp_9680,Not Categorized,0
2006,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Academic Achievement,55250227
2009,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Academic Achievement,53122994
2013,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Academic Achievement,52868345
2014,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Academic Achievement,56865248
2015,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Academic Achievement,55733109
2016,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Academic Achievement,57036162
2006,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Instructional Support,6554480
2009,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Instructional Support,6409390
2013,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Instructional Support,6341113
2014,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Instructional Support,6381568
2015,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Instructional Support,6775767
